valore,anno,mese
90.931625,2002,5
54.556744,2002,6
59.309765,2002,7
79.00605,2002,8
83.31907,2002,9
86.865585,2002,10
156.09814,2002,11
118.44093,2002,12
92.17907,2003,1
37.7293,2003,2
30.528835,2003,3
63.910698,2003,4
38.28279,2003,5
45.562325,2003,6
39.571163,2003,7
31.252558,2003,8
58.826515,2003,9
122.234886,2003,10
105.9214,2003,11
130.53629,2003,12
72.32,2004,1
59.086975,2004,2
73.38605,2004,3
83.58093,2004,4
65.250694,2004,5
51.77581,2004,6
40.09628,2004,7
56.833027,2004,8
50.338142,2004,9
91.506516,2004,10
112.23535,2004,11
102.98232,2004,12
61.366974,2005,1
58.397675,2005,2
52.411163,2005,3
71.759995,2005,4
49.35721,2005,5
31.784649,2005,6
43.107445,2005,7
72.121864,2005,8
85.275345,2005,9
72.57302,2005,10
112.38977,2005,11
100.89814,2005,12
55.802326,2006,1
65.10093,2006,2
72,2006,3
60.99116,2006,4
40.628838,2006,5
31.324652,2006,6
43.024185,2006,7
82.20558,2006,8
98.97116,2006,9
48.373024,2006,10
42.471626,2006,11
103.31999,2006,12
47.406975,2007,1
64.27489,2007,2
68.860466,2007,3
32.21535,2007,4
86.95163,2007,5
58.91535,2007,6
33.996742,2007,7
56.28,2007,8
69.2614,2007,9
68.07442,2007,10
81.403725,2007,11
65.08093,2007,12
73.01024,2008,1
32.798138,2008,2
84.22047,2008,3
84.16186,2008,4
63.280933,2008,5
63.1014,2008,6
58.99256,2008,7
35.36884,2008,8
78.096275,2008,9
84.36977,2008,10
158.3693,2008,11
166.48605,2008,12
107.5493,2009,1
84.55861,2009,2
98.73256,2009,3
97.79814,2009,4
29.722326,2009,5
58.109303,2009,6
54.308838,2009,7
33.80372,2009,8
77.57163,2009,9
104.726974,2009,10
87.120926,2009,11
117.390236,2009,12
96.1502,2010,1
88.72932,2010,2
60.930523,2010,3
49.90763,2010,4
113.806015,2010,5
65.34337,2010,6
55.289154,2010,7
73.76064,2010,8
98.73494,2010,9
128.23494,2010,10
142.57712,2010,11
106.58714,2010,12
71.5984,2011,1
52.28233,2011,2
78.7751,2011,3
48.954617,2011,4
54.16868,2011,5
73.9747,2011,6
76.16265,2011,7
37.24819,2011,8
58.536144,2011,9
74.86466,2011,10
102.30522,2011,11
83.03856,2011,12
54.310444,2012,1
61.871483,2012,2
28.893976,2012,3
99.4984,2012,4
59.635338,2012,5
42.973495,2012,6
42.33936,2012,7
43.151806,2012,8
81.511246,2012,9
95.42128,2012,10
146.91687,2012,11
93.76426,2012,12
